arquivo;condicao;ocorrencia;label
dp366_pos.nirs;S;1;S_2min
dp366_pos.nirs;D;1;D_2min
dp366_pos.nirs;S;2;S_andar
dp366_pos.nirs;S;3;S_andar
dp366_pos.nirs;O;1;O
dp366_pos.nirs;D;2;D_andar
dp366_pos.nirs;O;2;O
dp366_pos.nirs;O;3;O
dp366_pos.nirs;D;4;D_andar
dp366_pos.nirs;D;5;D_andar
