Condicao;Tempo_s;Ch1_HbO;Ch1_HbR;Ch2_HbO;Ch2_HbR;Ch3_HbO;Ch3_HbR;Ch4_HbO;Ch4_HbR;Ch5_HbO;Ch5_HbR;Ch6_HbO;Ch6_HbR;Ch7_HbO;Ch7_HbR;Ch8_HbO;Ch8_HbR
A;-20.0;0.8320850909539601;-1.9979870335326964;4.651880558899214;0.21264672400223095;-3.012909018988694;-3.0379524698747655;5.20491123828284;0.6448412530222285;3.1161209137333117;-2.8158241171160228;5.522776652363614;3.875302395015604;1.706838043589876;-0.002578423303335242;5.640391097009191;2.6507704507091936
A;-19.9;0.7626481103300833;-2.030510845463031;4.590613357198563;0.17987799680617034;-3.0351440786860433;-3.048360585615047;5.162739448887034;0.6091925650385157;3.0899638237844513;-2.8460468567310775;5.503785619724205;3.8564567968189216;1.6935446869664332;-0.02960532728607168;5.640272314802891;2.626421281100212
A;-19.8;0.6910330226972903;-2.066669927709986;4.526797761811533;0.14644449025828177;-3.057632334834322;-3.054136199066024;5.117418390875136;0.5735738181232062;3.0613264191628087;-2.8773638299635564;5.479889174436355;3.834247515757774;1.6794970340941342;-0.056216508797932496;5.643767145728194;2.6020902338879592
A;-19.7;0.6189317221877211;-2.103444017495969;4.459955255893837;0.11282005419123298;-3.080073314230402;-3.0541302507271695;5.068249460497773;0.5384086090655824;3.03098779602729;-2.908648918054527;5.451028265132312;3.8087559632853907;1.6643083592605326;-0.08269835405380888;5.649724745900325;2.57731366846658
A;-19.6;0.5466720759238441;-2.1392115727254954;4.389112888641854;0.07906164317754705;-3.1024929861515513;-3.0477798768690576;5.0155122466186395;0.5040457081989285;2.999295606870829;-2.9393165229038587;5.417044456503145;3.7800554193256133;1.6473879496570314;-0.10933626223247384;5.657039938220982;2.5516048346258406
A;-19.5;0.47434276349651405;-2.1721041596719393;4.312757188528865;0.04513945744049863;-3.125019286302104;-3.0337805548249044;4.959547027949858;0.4708819469206196;2.9666064217521466;-2.96869443372864;5.37763205744718;3.748174477894956;1.6279100831885147;-0.13653422682264482;5.664326422774845;2.5242908624873612
A;-19.4;0.40566472051095737;-2.199154842462774;4.2335412922705125;0.012141340363974074;-3.1468649745763333;-3.013347603836028;4.899356199720216;0.4391357793406945;2.9337880408425967;-2.99596160803807;5.333513952325086;3.713455221760153;1.6066898599123336;-0.16398022027143488;5.671737501955071;2.4957914719300813
A;-19.3;0.34448371741425454;-2.2180293445732313;4.1548965346146645;-0.0187714696878718;-3.1671405580683256;-2.9880351200537163;4.83409299728582;0.40894613689631765;2.901645657257596;-3.0205259220884075;5.285666380113414;3.6763691037438937;1.5848694751636465;-0.1912231041528294;5.679738869104276;2.4667737882182195
A;-19.2;0.2944423905470206;-2.225169518785816;4.078805014057018;-0.04658171331110861;-3.1851489386270657;-2.9541652401512337;4.762412669732267;0.3805274732235677;2.871088397361561;-3.041369154451841;5.234645284636063;3.637303335188694;1.5629094795161018;-0.21814887800031224;5.688181362608236;2.437439218396475
A;-19.1;0.2590898284029439;-2.217258681017833;4.0073518657588725;-0.0702829288235689;-3.2001973901848757;-2.910703902453694;4.6831720806184745;0.3541057217207513;2.8430119773535765;-3.057549460050713;5.181053242067794;3.596546005006055;1.5414755298622245;-0.24448585294259928;5.697141954197383;2.40808382624902
