Condicao;Tempo_s;Ch1_HbO;Ch1_HbR;Ch2_HbO;Ch2_HbR;Ch3_HbO;Ch3_HbR;Ch5_HbO;Ch5_HbR
A;-20.0;-0.007623576169951463;0.02902113957495267;0.2803087455614248;0.05618658063956872;0.19468678529954886;0.028331532510105006;0.14527203764730956;-0.039826965536494896
A;-19.9;-0.01678784814568246;0.02784277959324477;0.2915456024929117;0.06274397529935172;0.19220837103642197;0.029655883767960134;0.14581094210798184;-0.04005426409915458
A;-19.8;-0.02599034263741551;0.026692804902895162;0.3029741549498475;0.06938981792131926;0.18904239523345368;0.030796033166271997;0.1456410726449242;-0.04023713452730959
A;-19.7;-0.035205421779380686;0.025549741474444332;0.31422525371351373;0.07598683853639088;0.18535506510570698;0.03176340608641404;0.14490585891528518;-0.04039558400807053
A;-19.6;-0.04411543214092184;0.024448151557162845;0.325225762422507;0.08248547074597035;0.18136813979544542;0.03257869901953114;0.14368703195607857;-0.040543067463568505
A;-19.5;-0.05225751737875939;0.023440188306141252;0.33594853498035615;0.08883953768649544;0.17738445789098733;0.03326954840898466;0.14209260781794697;-0.040694682240097535
A;-19.4;-0.05949740177586449;0.02255007344315274;0.34639646188758366;0.09504540657881222;0.173450625703925;0.03384330757993936;0.14010752276234406;-0.04085275607507022
A;-19.3;-0.06568204651585674;0.021807676008608112;0.3566064918124443;0.10111199478446586;0.16961180203121984;0.034308816463965996;0.1377057551065608;-0.04101870178953959
A;-19.2;-0.07037959431718654;0.02124271460158944;0.3664103764990472;0.10693305593482494;0.16622657593681112;0.03469177558808667;0.13508463950202731;-0.04121215209435647
A;-19.1;-0.07324548025437139;0.020870505543582496;0.3755943204141561;0.11239002411350985;0.16361236066589768;0.03501210167939739;0.13244407055991658;-0.04145095404513732
A;-19.0;-0.07376771700448437;0.02073726770497153;0.38402127361532923;0.11739073714274761;0.16218291502353566;0.03530779779967119;0.12998283145322986;-0.0417585610236344
A;-18.9;-0.07146432758666421;0.020882999871556507;0.39155686458945294;0.12184181012986617;0.16232899640907306;0.0356119977398599;0.12790146750046283;-0.04215581551631331
