Condicao;Tempo_s;Ch1_HbO;Ch1_HbR;Ch2_HbO;Ch2_HbR;Ch3_HbO;Ch3_HbR;Ch4_HbO;Ch4_HbR;Ch5_HbO;Ch5_HbR;Ch6_HbO;Ch6_HbR;Ch7_HbO;Ch7_HbR;Ch8_HbO;Ch8_HbR
A;-20.0;-0.46870394482900135;0.019738181923683484;-0.5591381362854397;-0.0467327530069408;-0.501682718475589;-0.11688411797811682;-0.4756155670711566;-0.1980865186906975;-0.4491735486579138;-0.06426347871308646;-0.5226204075130996;-0.11477085958695987;-0.654982832263177;-0.24974280691963724;-0.43290277926362286;-0.09757540825475264
A;-19.9;-0.4660162462304873;0.021363054814661275;-0.5572172331904381;-0.04595875694009255;-0.501464579369097;-0.11555798521242;-0.4758267846558333;-0.1967440725745382;-0.44854852485759533;-0.06371052758805984;-0.527970913499578;-0.11148538810472708;-0.6561931855352778;-0.2484013613906635;-0.437534763257851;-0.095514440904652
A;-19.8;-0.464067005226382;0.023102412733792654;-0.5558729199571983;-0.04495792071970506;-0.5018411824537266;-0.11413139702021535;-0.47643384178716097;-0.1952524723916511;-0.448396269031317;-0.06317046979175878;-0.5335858708626198;-0.10799855187981677;-0.6579083149474485;-0.24693420372662267;-0.4427622131235527;-0.09330691631769739
A;-19.7;-0.4626127497885717;0.02494338885831837;-0.5548775618403736;-0.04378644130145126;-0.5025906415089274;-0.11262689631819889;-0.47727622503688316;-0.1936323310913961;-0.44857712605390887;-0.06262446418905387;-0.5393380474458471;-0.10435107085088902;-0.659938086760139;-0.24533597416138964;-0.44837188421480967;-0.09099130975981229
A;-19.6;-0.46169333950291147;0.02687584754936445;-0.5542790649307152;-0.04246201334676325;-0.5037232424316667;-0.1110797986425629;-0.478450665162403;-0.19186412174770773;-0.44913338430730754;-0.06205211145122025;-0.5452378784540599;-0.10055179807070047;-0.6622772371123657;-0.24358606180224918;-0.45434432844281325;-0.08857060901035307
A;-19.5;-0.4614027823894915;0.0288883704697378;-0.5541818294208491;-0.04100048127452638;-0.5052888382312091;-0.10953582532111739;-0.48011932460990536;-0.18991609857304237;-0.45014632757950057;-0.0614277044525986;-0.5513228230521721;-0.09660497375925736;-0.6649474299199589;-0.24165478377934146;-0.4606871415839233;-0.08604234851875425
A;-19.4;-0.4618103147091066;0.03097517820372442;-0.5546558876770593;-0.03940107041679841;-0.5073343728326023;-0.10801064382152337;-0.4823677644367903;-0.18777589998997168;-0.4516658217209528;-0.060744977167781045;-0.5576159619125765;-0.09251292501726738;-0.667986206668326;-0.2395382707360172;-0.46742620385306033;-0.08340279119314165
A;-19.3;-0.4630154928566208;0.033130938341392024;-0.5558005161105122;-0.037658364679568734;-0.5099328801240901;-0.10652037073811993;-0.4853069679741031;-0.18542779922090258;-0.4537604119933487;-0.059998081174946094;-0.5641555286593389;-0.08827474559230719;-0.671452166301477;-0.23723196768253807;-0.47460974858563354;-0.08064419664551892
A;-19.2;-0.46496598163346015;0.03534137870118936;-0.5575840994894286;-0.03581270608609177;-0.5130073833575546;-0.10511191300398526;-0.4889862349130052;-0.18285421610208275;-0.45642109140672726;-0.059158086957707745;-0.5709088864979046;-0.08391159416776262;-0.6752623513864258;-0.23470787961573336;-0.48213316316265775;-0.07778411734811463
A;-19.1;-0.46755004351249063;0.037592275713907775;-0.5599174486461802;-0.0339096998624715;-0.5164339394897892;-0.10382556717947722;-0.493396069559477;-0.180047363261175;-0.4595987416924556;-0.05819952267120776;-0.5778141643959511;-0.07945051254425284;-0.6792995289397092;-0.23194500741374569;-0.4898550800052561;-0.07484720009783707
A;-19.0;-0.4707667435565295;0.039868444873075504;-0.5628195169950905;-0.03198771674381096;-0.5201788304262198;-0.1027163644260245;-0.49863843571141064;-0.17698249944603361;-0.46331932566034606;-0.0570885358968809;-0.5848664586426713;-0.0749098005335247;-0.6835093027559607;-0.22890820098505138;-0.4977028637870635;-0.07184483593523439
A;-18.9;-0.4745980246627708;0.04215535591875064;-0.5662931261110691;-0.0300846633299372;-0.524194948571072;-0.10183500563855752;-0.5047960245434373;-0.17363776082025062;-0.4675959696766565;-0.055794363174730854;-0.5920523470192522;-0.0703083699888376;-0.6878293069159112;-0.22556601109246532;-0.505594897949619;-0.06879034609337609
A;-18.8;-0.47895754934057333;0.04445068223073001;-0.5702529142957378;-0.028200780906909806;-0.5284195578615689;-0.10116045988359623;-0.5117661650102656;-0.17003758058908858;-0.47236298033215984;-0.054333270252898025;-0.5993180146205628;-0.06566169543939893;-0.6922299048845426;-0.22195049535109046;-0.5134850829072057;-0.0656958007210875
A;-18.7;-0.48377051786387604;0.046755657413717344;-0.5746167358309187;-0.0263224404399649;-0.5328146817024093;-0.10065285280683423;-0.5194170030179963;-0.1662180178494479;-0.4775514423199736;-0.052733814139752866;-0.6066149394268603;-0.06098243381435786;-0.6967118362437175;-0.21811013754020347;-0.5213618496640819;-0.06256851463314206
A;-18.6;-0.4888814486954809;0.04907101315895179;-0.5792345833959089;-0.02444757519516383;-0.5372594003956674;-0.10027437187697341;-0.5275716582255905;-0.1622121960806071;-0.48304477618313246;-0.05102460221892091;-0.6138535481805745;-0.0562868031948236;-0.7012105721125357;-0.21409002494621365;-0.5291391143394311;-0.059428794858721545
A;-18.5;-0.49412173576569707;0.05139911930874508;-0.5839410311906938;-0.022569436881939353;-0.5416280355256493;-0.09997707393865429;-0.5360244209806622;-0.1580602821164092;-0.4887130270206077;-0.0492408016939212;-0.6209373034422274;-0.05159100139307249;-0.7056639053935134;-0.20994436864151123;-0.5367335361932462;-0.05629718432745889
A;-18.4;-0.4994880991390538;0.053737369373716426;-0.5887271756870351;-0.0206827916658483;-0.5459377557747231;-0.09974733428208449;-0.5447381785709515;-0.15378285347986953;-0.494542543564946;-0.04739316356420087;-0.6278605854813737;-0.046907098634492606;-0.7100951201609007;-0.20569744905521414;-0.5441634743947006;-0.05317400737740474
A;-18.3;-0.5049916351007422;0.056082137173048885;-0.593601813371003;-0.018786119867125528;-0.5502118183955567;-0.09958077667450826;-0.5537051463326987;-0.14939287019710523;-0.5005327883752653;-0.045486836316500856;-0.6346269388803059;-0.04224617884609039;-0.7145256724054354;-0.20136401164977347;-0.551446080791786;-0.050059134699720786
A;-18.2;-0.5106166419777907;0.05843279237183552;-0.5985381917710111;-0.01686646758915078;-0.554469580863235;-0.09944839093800795;-0.5628479325928941;-0.14492335035667647;-0.5066548294154058;-0.04354175999580168;-0.6412233253555906;-0.03762089810170366;-0.7189905054346628;-0.196984040164617;-0.5586125297415432;-0.04695167212587137
A;-18.1;-0.5163600489510536;0.0607886881782953;-0.6035219289148808;-0.01491068258089534;-0.5587414357036522;-0.09932339974607807;-0.5721015376933067;-0.14040556383632996;-0.5128880533117046;-0.04157643232853836;-0.6476446575721999;-0.03304310131286314;-0.7235305524828242;-0.19259469804336593;-0.5657020426937969;-0.043849162710107414
A;-18.0;-0.5220685395141968;0.06315093628863355;-0.6084168724977106;-0.012921521660265611;-0.5628932537781566;-0.0991791403838631;-0.5813228880334522;-0.13585725999255072;-0.5191216619567216;-0.0396146198649836;-0.6538076612697266;-0.028524337590428495;-0.7280617050877813;-0.18822524857994516;-0.5726085507161898;-0.04077448091896407
A;-17.9;-0.5275244194326838;0.06552152710762726;-0.6130298812420527;-0.010905243632744366;-0.5667293728278668;-0.09898244329859374;-0.5903189827390385;-0.13129831836457573;-0.5252033617273817;-0.03768535082478408;-0.6595942257985961;-0.024077655228482264;-0.7324581992355919;-0.1839104215662175;-0.5791765893505865;-0.037759540890477616
A;-17.8;-0.5326368946441695;0.06789988996446361;-0.6172867926964258;-0.008868340977753242;-0.5701659521078213;-0.09872443509702311;-0.5990191730755461;-0.12673477799763688;-0.5310674057449587;-0.035800593338090714;-0.6649593869937931;-0.01971230083978348;-0.736658710232728;-0.1796603610036458;-0.5853315700555957;-0.03482055569218723
A;-17.7;-0.5373051734869154;0.07028593297595975;-0.6211065941442317;-0.006818447155973573;-0.5731065928072674;-0.09839698379955042;-0.6073502978097087;-0.12217002701960489;-0.5366422238687516;-0.03397238901964794;-0.6698538600944017;-0.015436504678511653;-0.7405912947892093;-0.17548283446297308;-0.590987360441547;-0.031975606942123314
A;-17.6;-0.5413367303471501;0.07268023141327884;-0.6243094122932709;-0.004757447460853825;-0.5753979364311137;-0.09796090795643142;-0.615112425816263;-0.11763863893631843;-0.5417887570858744;-0.03222966089024748;-0.6741712302525169;-0.011267627274902381;-0.7441677318419462;-0.17142581487895026;-0.5960312913770434;-0.029249424109201172
A;-17.5;-0.54457681810955;0.07508218861693194;-0.6267468023216329;-0.0026859971230583923;-0.5769273267461426;-0.09738056520767913;-0.6221305574508929;-0.11317753598873814;-0.5463923181041679;-0.030597295533619118;-0.6778259438221328;-0.007223977216302302;-0.7473276516153673;-0.16753625270949968;-0.6003843596465082;-0.026660641203550384
A;-17.4;-0.546806739284702;0.07749561484046108;-0.6282194713907945;-0.0006031905116463676;-0.5775104533740789;-0.09661138345625453;-0.6281867386072193;-0.10881631194754604;-0.5502948708442403;-0.02910963789766008;-0.6806993746165384;-0.0033176695640166898;-0.7499615104783688;-0.16386092308083278;-0.6039104344902153;-0.024238007099099512
A;-17.3;-0.5478184392360044;0.07992319017740623;-0.6285365815927619;0.0014903062994680027;-0.5769753642581401;-0.0956120285655615;-0.6330721968165083;-0.10458581503173914;-0.5533467030284447;-0.027797568003416373;-0.6826788221358742;0.00043767611785572313;-0.7519670822795108;-0.16044564858728716;-0.6064825605440749;-0.022008367503080883
A;-17.2;-0.5476927902706361;0.08236022963219103;-0.6277760351223769;0.00358973012388919;-0.5754073511524549;-0.0943993362188591;-0.636856303437443;-0.10048789842843497;-0.5555963538888786;-0.02665070530133118;-0.6838184952546067;0.004033735525361237;-0.7533880715898338;-0.15727944945211725;-0.6081580843134873;-0.019963007129686794
