Condicao;Tempo_s;Ch1_HbO;Ch1_HbR;Ch2_HbO;Ch2_HbR;Ch3_HbO;Ch3_HbR;Ch4_HbO;Ch4_HbR;Ch5_HbO;Ch5_HbR;Ch6_HbO;Ch6_HbR;Ch7_HbO;Ch7_HbR;Ch8_HbO;Ch8_HbR
A;-20.0;0.2313595336480283;-0.026927353182710334;0.18841719775385246;-0.02276075407496614;0.6803649432546468;0.1650311283302477;0.19496382543283497;0.008650618094851348;0.19373704574154327;0.17868123663289648;0.1347988438975706;-0.003403438954606819;0.4463420105024527;0.05209338027578836;0.21254506192430012;0.002344822718002959
A;-19.9;0.2308845931714516;-0.028731682684478344;0.1919816307254416;-0.022913550516395764;0.6755370200568525;0.1612959998690997;0.190135734551377;0.007462768815314824;0.18840002315570248;0.17451872131794133;0.13330005080720983;-0.005234717978481851;0.4429409410080869;0.05080428314467933;0.21206590832984118;0.0028155628050854364
A;-19.8;0.23068761069540766;-0.03050985405604356;0.19554876082304895;-0.02309231827033198;0.6711597191548307;0.15740895192245774;0.18585913202723758;0.006289159218137774;0.18263875929440754;0.16985674003490958;0.131355626017893;-0.007295514682378879;0.440061164714882;0.05019919596932443;0.2120020804232009;0.0034663894055293465
A;-19.7;0.2307921034690683;-0.03224646845342782;0.19913304577669777;-0.023283210972660395;0.667256434025813;0.1534278873260715;0.18215399205309635;0.005138984368116883;0.17659911128052408;0.16483178400478926;0.1290540699363759;-0.009537293143574876;0.4377086443684468;0.0501969757746179;0.21230702074678054;0.004265847317595606
A;-19.6;0.2311956480765216;-0.033926046188234915;0.20275035636126704;-0.02346398706261299;0.6638118412168349;0.14942339740205446;0.17899932870175905;0.004023258595142298;0.17044232483331367;0.15961669755559038;0.12649462686494725;-0.011903365561358292;0.4358133285146748;0.050652013677474406;0.21288131251412434;0.0051614543471165675
A;-19.5;0.23186196584368668;-0.03554505463903457;0.2063774232593396;-0.023624043356554214;0.6607591184808697;0.14543097601586075;0.176325480734288;0.002940591128317127;0.16416700510108917;0.15424245225484912;0.12372022927075607;-0.014374774235063392;0.4342859464008644;0.05147177581962237;0.21364748133524292;0.006119700831388686
A;-19.4;0.2327316967148807;-0.03710417711610958;0.2099772010696156;-0.023754419918357694;0.6579939358360235;0.14148131324391522;0.1740352018208784;0.0018872942087835298;0.1577329242962845;0.14871555761018818;0.12075131382456164;-0.0169465250084484;0.43299215156951365;0.0525434726109808;0.2145145654065853;0.007099910833162193
A;-19.3;0.23377611422368694;-0.0385997976240009;0.21354719016750356;-0.023842913848583613;0.655497320810912;0.13759735583896116;0.17208349260296307;0.0008680512637204707;0.1512163534817197;0.1431245387383444;0.11765815898672263;-0.01957004982855548;0.431873222921068;0.053792925838614725;0.2154156925369789;0.008085358499829054
A;-19.2;0.23497408505979345;-0.04002915403714846;0.21708294033867637;-0.02388159242160115;0.6532686864729061;0.13379586509445174;0.17044203591599305;-0.00011215114131557513;0.14469167704899977;0.13754879504182282;0.11450839586370068;-0.022195681237073828;0.43089701373159617;0.05517323507063421;0.2163007001329197;0.009067812930760644
A;-19.1;0.23630522832220313;-0.041386579665034784;0.22058145516816685;-0.02386233610038624;0.6512791562386728;0.13011614010034656;0.16909793983639765;-0.0010435430962933978;0.1382818171885829;0.13211549598034833;0.11135211171604495;-0.024788908243648322;0.4299939523933294;0.05656959242094728;0.21710847665004152;0.01000908871160644
A;-19.0;0.23776593689726488;-0.042663570980966625;0.22404729270202284;-0.023778279316077455;0.6495248354277343;0.12660681956932462;0.1680680491688875;-0.0019130793132420276;0.13215297935367065;0.12698467983650907;0.10824896038952683;-0.027308272536560874;0.42911985214418946;0.05786646025932751;0.2177868678900179;0.010868552067469173
A;-18.9;0.23935730011579404;-0.043855628860731244;0.2274485836183019;-0.023635848630613188;0.6479943771023069;0.12330965228651802;0.16736714522536178;-0.002716340046536425;0.12634008288844745;0.12219861802503251;0.10522463566659138;-0.029739093745417167;0.4282620754518536;0.05901930900951502;0.21830524165186505;0.011614256236597065
A;-18.8;0.2410899903362409;-0.04495630021386399;0.2307525886897538;-0.023441753005793986;0.6466742088194151;0.12027520717181073;0.16701738235557384;-0.003449808497174356;0.12086993025673354;0.11779186691071142;0.10230578898166107;-0.03207134255444066;0.42741885316056005;0.0599847273906462;0.218635718456051;0.012209452608500815
A;-18.7;0.24300690970200023;-0.04595295319808357;0.23396115192630507;-0.023197480004939486;0.6456370389225193;0.11756415244795204;0.16708705391509393;-0.004103265324833627;0.11589251621117869;0.11389873504500247;0.09958121883294882;-0.03424785209761472;0.42665487298888416;0.06073120872027249;0.21875863605136436;0.012631367542633942
A;-18.6;0.24514434877461277;-0.04683484470151544;0.23707077429986123;-0.02290478188141387;0.6449492094834379;0.11523220743705109;0.1676290251811976;-0.004669365161890537;0.11152646483734185;0.11062924277088437;0.09713604055563038;-0.036214518433980714;0.42602810880753395;0.06123640594709334;0.21864947037921134;0.012860442347059076
A;-18.5;0.2475355837501232;-0.047584999009428586;0.24010340593313728;-0.02254920203208588;0.6446177137850824;0.11335430117037149;0.16867220867248545;-0.005139420887830148;0.1079323398982317;0.10813595510950424;0.09506923198560649;-0.03792431514568195;0.42554772430445054;0.061397074872762136;0.21825955812887554;0.012852366949937633
A;-18.4;0.2502033235384302;-0.04818865167931685;0.24308239625539863;-0.022115224995873595;0.6446408495208164;0.11199405373540317;0.17022885509437358;-0.005506552366678852;0.10526276841520288;0.10656312922488276;0.09347389102938183;-0.03933366178935016;0.4252113222678202;0.061108064515443816;0.2175417588814721;0.012568589239968064
A;-18.3;0.25308893800784293;-0.04865217245663467;0.24595440040206162;-0.021603016114745355;0.6449041840680525;0.11116326078332261;0.17219527222218445;-0.005781629486945272;0.10338845518021278;0.10582985571276726;0.09233295542181694;-0.040466009433781314;0.42490145784074507;0.060309364286623035;0.2164250835561885;0.011977877823130312
A;-18.2;0.25611611594001116;-0.048986882653017316;0.24865795360049514;-0.021016120077556044;0.6452627157853906;0.11084877126246573;0.17444077114966405;-0.00597913037182507;0.10212491308831884;0.10579948011608153;0.09159773465772172;-0.041364612545738755;0.42448574367952396;0.05896102450517304;0.2148542094074578;0.01106023848029003
A;-18.1;0.25922149126224525;-0.04920928870421282;0.2511369654789989;-0.02037179461569205;0.6456831049855218;0.11100124153545399;0.1768840289136011;-0.006111292399606061;0.10135589885487106;0.10636862048560936;0.09122745974123112;-0.04204587141317184;0.4239224429916624;0.05710097751303955;0.21283273460296737;0.009842366428155724
A;-18.0;0.26233383148366696;-0.04934138288389689;0.2533246065279494;-0.019696625637254828;0.6461486532941869;0.11155189866747328;0.17944798559307173;-0.006190102215412496;0.10094311545434198;0.10740984050418412;0.0911586635565321;-0.042529275513588094;0.42317783925066754;0.05480353311555941;0.2103799455455001;0.00836483418573497
A;-17.9;0.265443646858758;-0.04938796445140192;0.2552312210054044;-0.019002121385939263;0.6466534037756885;0.11244061619131873;0.18211852770417614;-0.006215753230366383;0.100915051555167;0.10889320568408034;0.09137391489462002;-0.042820487059944345;0.4223133476977958;0.05213351427692281;0.20758581908640517;0.0066765247684683615
A;-17.8;0.2685548241380158;-0.04935194083182859;0.2568776790588392;-0.018300377987232608;0.647219855998516;0.11360977204595368;0.18490639212248872;-0.006185601012966613;0.10134310789714396;0.11082049643383551;0.09186806909015069;-0.04291431725198769;0.42141774567563717;0.0491620755111406;0.20455270163548267;0.004830998575019896
A;-17.7;0.27162273657494507;-0.04924934912540868;0.25822211442672716;-0.017618535447616157;0.6478166423608637;0.1150127708411719;0.1877794843129572;-0.006098559912629087;0.10214207651704754;0.11310790462159082;0.0925698606966471;-0.04282990345179738;0.42045970672104804;0.045953941301850376;0.20130286691229493;0.0028476184994714604
A;-17.6;0.2746092316282225;-0.04909441362717959;0.2592344849462419;-0.0169784084213227;0.6484005600292634;0.11660780067780441;0.1907031180763683;-0.005954565162872516;0.10322472060294052;0.1156703621507118;0.09341143185757109;-0.042590919804133986;0.4194068352851239;0.042565066190243916;0.19785651067886445;0.0007420326374181219
A;-17.5;0.27745706661935055;-0.04890776875796443;0.2598468502545207;-0.01640652924321717;0.6489948340573812;0.11836506495777344;0.19363664027221672;-0.005762447262688486;0.1044862223354589;0.11844096345378774;0.09435100202077187;-0.04219679944041688;0.4182140160141916;0.03903973410527928;0.1941892053629396;-0.0014689517133068541
A;-17.4;0.2800988488090099;-0.04871322729958982;0.2599840047974328;-0.015926549925477484;0.6496197649147601;0.12025545251733094;0.1965160014686722;-0.005537318402414559;0.10577855459349073;0.12132816471084307;0.09534436018196743;-0.041653183310207065;0.4168148656516528;0.03541516866690486;0.19025462842401042;-0.0037709107214705107
A;-17.3;0.2825468650048575;-0.04851132886045262;0.25970329834137895;-0.015521957817941967;0.650264441693811;0.12223039177655393;0.1992973350868288;-0.005296047691537797;0.10710624073089814;0.12429017529668407;0.09641420266271075;-0.04097644881496787;0.4152855107173756;0.0317223050775326;0.18612879791697334;-0.00611190263009731
A;-17.2;0.28482187735384623;-0.04829861653983336;0.2590803734664784;-0.015167929368647082;0.6509161099083354;0.12423349115346904;0.2019286410923744;-0.005059353856173177;0.10849593431628846;0.12728820228838122;0.09760227542839259;-0.040183992438799776;0.4137303233687688;0.02798859235532114;0.18191170451621075;-0.008427748032354243
A;-17.1;0.2869000344320447;-0.04808601481126562;0.258152520963844;-0.0148473328490204;0.6515063773774404;0.12619776548564654;0.20429148614201753;-0.0048540792968414515;0.10980382451451254;0.13016818393833685;0.0988769543372083;-0.03933291698217212;0.41214845100654207;0.024251191171472453;0.17764092494055783;-0.010673975195596208
A;-17.0;0.28877133645994757;-0.04788047102651949;0.25697919001344416;-0.01453922128311591;0.6519578698699074;0.12805016377072054;0.2062761362824137;-0.004704241986198676;0.11091298262542126;0.13278223181838977;0.10020840762331187;-0.03848385018606415;0.41056208007791817;0.02055495783379646;0.17337907455384183;-0.012800522829042427
A;-16.9;0.29037727947733005;-0.047695779460076526;0.2555263055527657;-0.014248922750854875;0.6522477802825388;0.1297233043987438;0.20777471932078284;-0.0046335519494571376;0.11170371903608789;0.13500656158070545;0.10157586492459866;-0.03766222637554539;0.4089642417384045;0.016940171214802735;0.16915940899158954;-0.014757472795248638
A;-16.8;0.2916503642813115;-0.04754862511710023;0.25373810775585914;-0.013991688409468184;0.6523627611009574;0.13116044803496818;0.20869350723538505;-0.004659610993319019;0.11205619429777958;0.1367322477535573;0.1029469654398528;-0.03688482452848196;0.40732258402050725;0.013446299434706876;0.1649922114467426;-0.01650787085775729
A;-16.7;0.2926438133355962;-0.04742489167105468;0.2517061612951442;-0.013758059267735767;0.6523186870288498;0.13230814760775522;0.20907240611454525;-0.004777449527696653;0.11214344100859985;0.13801466728009926;0.10436630311293196;-0.03614014605415916;0.4058028294630398;0.01013436024551262;0.16103590257144973;-0.017985471358289873
A;-16.6;0.29342122535131954;-0.04730725692320892;0.24952090284738537;-0.013543142900522165;0.652149362272744;0.13313254369191285;0.2089934469524486;-0.004973315585231397;0.11219624240952952;0.13896681999911742;0.10589021574265436;-0.03539737035199009;0.4045758350280797;0.0070534638031301;0.1574454636894862;-0.01913470620791058
A;-16.5;0.2940181630396852;-0.04719607538362802;0.24724532774463925;-0.013351797997036119;0.6518469843643502;0.13363564592599197;0.2085151991753671;-0.005226775856376875;0.112297928066599;0.1396460296248654;0.10749426692066641;-0.034651921996086354;0.4036580228422926;0.004234320495082544;0.15424371056662134;-0.019963170968857025
A;-16.4;0.29449246457298095;-0.04709011151166398;0.244977865803368;-0.013179774871584282;0.651395074056921;0.13382908961166273;0.20771143931239688;-0.0055158304764626465;0.11252891026018663;0.14011229302723938;0.10914696433609841;-0.03390935567868458;0.40306536378986046;0.0017059530232388376;0.15144613443361044;-0.02048743828797117
A;-16.3;0.29479381870316135;-0.04700659389213446;0.2426458144871556;-0.013057210550745157;0.6508000299341781;0.1337624351298452;0.20661498542458956;-0.005827438694161691;0.11284310174565171;0.14041511600178613;0.11080303214694867;-0.033143659536365444;0.40265468356310685;-0.0005711834225001766;0.14894010155489312;-0.020760666435905017
A;-16.2;0.2948573513986372;-0.046968294907056896;0.24016196767241782;-0.013015253876334176;0.6500631645822775;0.13348976779707056;0.20523867819758745;-0.0061520205058711586;0.1131398336320506;0.14057547744659904;0.11240091800604216;-0.03233769394992747;0.402244325294981;-0.0026429381080450565;0.1465809402175653;-0.02084569270499248
A;-16.1;0.29476371726986095;-0.046965672131951575;0.23767070720444938;-0.01302020685262617;0.6491778483014012;0.13300768325062373;0.2036390254719418;-0.006491984492556391;0.11346813562688796;0.14061727009868985;0.11394743495728596;-0.03151609459243121;0.4019130881219444;-0.004487470925452541;0.1444287399149965;-0.020723445654884598
A;-16.0;0.29458945089531996;-0.04698433113110423;0.23530460672047981;-0.01303950969051626;0.6481465671756773;0.13231274650510705;0.20187216368527028;-0.006850165968991684;0.11389148047065778;0.1405735202693188;0.11546174949219631;-0.030697122853134973;0.40174930178043233;-0.006086361063101897;0.14255143964008588;-0.020371028344766673
A;-15.9;0.29442540602236633;-0.04701864681560819;0.23324092173226185;-0.013038098712536028;0.646946902517451;0.131379361352012;0.19995969587454332;-0.007221845443692754;0.11443488793497636;0.14041265792405233;0.11691326587389952;-0.02993367840701122;0.4018315338610037;-0.007374223222366583;0.14101528421130505;-0.01977096354675667
A;-15.8;0.2943771911048212;-0.0470565602974764;0.23167383124736218;-0.012979651445772511;0.6455495971826946;0.13017329659670818;0.19792882704043646;-0.007596541735386486;0.11516128160261119;0.14011089358510365;0.11827623704783882;-0.02927866215008057;0.4022677671465158;-0.008269570438853346;0.1399106824069476;-0.01890174397761557
A;-15.7;0.29434732681142806;-0.04710197054206011;0.2304308707036954;-0.012923043016011215;0.6439883276809374;0.12875526940420468;0.1957974103748581;-0.007944549621155206;0.11606791070316447;0.13975195041633715;0.11951407362432473;-0.02867462839598678;0.4028787860939642;-0.00881788610096268;0.13910010632469538;-0.017836890474201672
A;-15.6;0.29418493239711085;-0.04716979720002268;0.2292450600213377;-0.012957182561062153;0.6423048587083294;0.1272083891005944;0.1935828468278029;-0.008225625818927274;0.11714194352481744;0.13944791140609936;0.12057396074948731;-0.028035103041385012;0.4034013377214911;-0.009089974536196088;0.1383818145571688;-0.016680248214363758
A;-15.5;0.29386205347630123;-0.04724036583709723;0.22802085923722337;-0.013125072517218506;0.6405040082789571;0.1255748855933403;0.1913633649332369;-0.00839997194703268;0.11853715596291148;0.13934951768463955;0.12147061153076158;-0.027289388266319436;0.4037882272564668;-0.009105693948961768;0.13771779045925459;-0.015481295276360552
A;-15.4;0.29332711385644905;-0.047294444400349356;0.22661814385268952;-0.013478752451844711;0.6385953034888495;0.12391187941800963;0.18922112401737912;-0.008428261565900375;0.12039467833921835;0.13962427477375883;0.12222295446483897;-0.026352298453847567;0.40395774422903274;-0.008908828120940404;0.1370413251306999;-0.014300562131966732
A;-15.3;0.2925471419376875;-0.04735536552748343;0.2249717087489571;-0.014066412928082306;0.6365620460107587;0.12225265135255658;0.1872178768212862;-0.008269056944645747;0.12279636966120044;0.1403684871177906;0.12277696038402117;-0.025178953655001113;0.40380231089191887;-0.008502250743991357;0.13627693052101675;-0.013199258495337984
