Condicao;Tempo_s;Ch1_HbO;Ch1_HbR;Ch2_HbO;Ch2_HbR;Ch3_HbO;Ch3_HbR;Ch5_HbO;Ch5_HbR
A;-20.0;0.18149981906303067;1.121017718532019;-0.9014592654332215;0.5567416342787269;4.097950264687592;2.5272786942463195;6.260665715240402;10.19410439076257
A;-19.9;0.17401806642833031;1.1207908874664099;-0.8351096309086491;0.571399964227345;4.143817622107812;2.5257914698389694;6.460721125840121;10.283071977996057
A;-19.8;0.16920860742797364;1.118921130593925;-0.772440881125246;0.5798352941548693;4.1873262549456625;2.5290105514623744;6.6551273543369005;10.337016050911624
A;-19.7;0.16765344481817804;1.1156178970026742;-0.7115059806948466;0.5831770067579657;4.227429993861107;2.535601517134812;6.842638560231193;10.341113075837612
A;-19.6;0.16976993764494233;1.1110371345805827;-0.6512589985566298;0.5833754456216899;4.263973189221946;2.544532067174102;7.025171730126957;10.30541544893592
A;-19.5;0.17586608664469194;1.1052999452978503;-0.5911879199596078;0.5815000268963814;4.296793213039209;2.5583518278038917;7.203216193012949;10.233531592597057
A;-19.4;0.18595165919553228;1.0985632998572485;-0.5294310327783144;0.5814653899444662;4.326423935404569;2.570057622270364;7.356829400554301;10.163731261668246
A;-19.3;0.19984653386775367;1.0909016340914068;-0.46427074609303154;0.5874632268785782;4.355178247576094;2.5703522524582616;7.466051445879843;10.153558048721294
A;-19.2;0.2174162049804429;1.0822663366619023;-0.3960611484734966;0.5971421836065588;4.383695243037347;2.5739357793009523;7.530076382792667;10.184641362930938
A;-19.1;0.23847510713648493;1.0725596577976075;-0.3256880631661237;0.6058641626379343;4.40331945288285;2.5785725283194316;7.549638072021909;10.12398114779072
A;-19.0;0.2626616861667143;1.0614556886892172;-0.25414962238890787;0.6113489998033662;4.412591261671397;2.5749253776094574;7.606695251509571;10.01571773163757
A;-18.9;0.28957094886076523;1.0486217282298707;-0.18273283965726286;0.6134108763390936;4.446924662109893;2.6183842795290055;7.728341218927048;9.93959940473765
A;-18.8;0.318887162568848;1.0339059608736283;-0.11194342390280661;0.6089071871385676;4.444352685233036;2.68755727557078;8.115574317111626;9.432640318833508
A;-18.7;0.3502395801701927;1.0172581906133364;-0.04187074110386391;0.5937958704896898;4.419058748968747;2.474984080625807;8.146960891004134;9.021474398580661
A;-18.6;0.3832782282409702;0.998875850449703;0.027063247286844543;0.5761986080165471;4.420196649949287;2.4953164371923835;7.86635649633206;8.955352264767553
A;-18.5;0.4176253937829519;0.9788083412343141;0.09453594503943556;0.5648168613285359;4.437463416706648;2.6708064480767972;7.7627532384858;8.621624464362336
A;-18.4;0.45261962342577666;0.9572913396224253;0.16102317610797565;0.5585346376507996;4.418182890558221;2.6065020733722113;7.9285309625850795;8.34169873148461
A;-18.3;0.4875373404614011;0.9343750393931846;0.2271121588070675;0.5568224586482678;4.390525559976767;2.558789196434111;7.996035489134841;8.313270609981886
A;-18.2;0.5217206791962075;0.9088421956430949;0.29295378982454795;0.5435662173408815;4.346706161255785;2.5063789628623385;8.056320925984013;8.301803262672552
A;-18.1;0.554582197116981;0.8807664210934929;0.35863809900910243;0.5350456486913391;4.318292600435747;2.456150605671725;8.050264827605941;8.256419252010625
A;-18.0;0.5856948535282309;0.8494195329197085;0.4238526243005493;0.5223958833116434;4.295328837971662;2.4337495615770437;8.009489040155753;8.199895521048097
A;-17.9;0.6147765111843667;0.8119877518508295;0.4880450511113732;0.5001500144354174;4.255823625444891;2.42390836770315;7.984153086455393;8.173846886279915
A;-17.8;0.6417788995693701;0.7746586179622467;0.5510566057142142;0.47847394896753076;4.217348297868806;2.4175188745245264;7.96880116131397;8.160401368675975
A;-17.7;0.6668486764569943;0.7441705247796181;0.6126680588353696;0.46891544755363707;4.210793390944725;2.39533630400146;7.9512676819339525;8.129897679294746
A;-17.6;0.6901720959019743;0.7131530434151516;0.672344514309755;0.45572239939886733;4.207228130509793;2.362059166905748;7.934823435782294;8.081895195073379
A;-17.5;0.7120028946845638;0.679377223588507;0.729977246445951;0.4414416598761215;4.167842276397697;2.3212627105888095;7.920563500553178;8.009976636236045
A;-17.4;0.7328103910630466;0.6388237371018773;0.7851339576397467;0.4132836561357774;4.104545852263509;2.278781965957978;7.903893976988169;7.933806265867594
A;-17.3;0.7530972940803617;0.5708472945542971;0.8358952390911577;0.3400688267613822;4.079617423426346;2.264504118630114;7.880084802487649;7.88253484025097
A;-17.2;0.7732029845287749;0.516191828349425;0.8856970948589562;0.3229293811096774;4.070075186098397;2.2257332056858994;7.848959514110855;7.848182637617786
A;-17.1;0.7934814070743084;0.4892596555533286;0.9315335120234637;0.3538335045656966;4.052023644764099;2.2053542808223754;7.811560166263832;7.815171497416535
A;-17.0;0.8141488288236115;0.4762817378624244;0.9743928915984159;0.37863428783150194;4.032090885673301;2.183045247056271;7.768698540763913;7.786287768626843
A;-16.9;0.8352984175361792;0.4412613105874357;1.0136908211704088;0.3735342304580824;4.01937253826474;2.1619023342756636;7.721532070077113;7.764168138793745
A;-16.8;0.8573699875746494;0.39763582424995797;1.0489335670501607;0.3422734238423977;4.011313262737055;2.1414814565977185;7.670967816750366;7.747276003453695
A;-16.7;0.8807839324571383;0.3655106711270297;1.0794314177358393;0.3200686722386458;4.005229008772113;2.1231983335116333;7.617781502660866;7.734602220720685
A;-16.6;0.9055160779284472;0.3399202638245408;1.105156644745628;0.3029835615353771;4.001135150795059;2.1066725455980353;7.561464447120657;7.722738335737451
A;-16.5;0.9314536496467971;0.3140635046812843;1.126293621015092;0.2873594883033075;3.9987318678458457;2.091124116823543;7.501306206303507;7.707880876284374
