Condicao;Tempo_s;Ch1_HbO;Ch1_HbR;Ch2_HbO;Ch2_HbR;Ch3_HbO;Ch3_HbR;Ch4_HbO;Ch4_HbR;Ch5_HbO;Ch5_HbR;Ch6_HbO;Ch6_HbR;Ch7_HbO;Ch7_HbR;Ch8_HbO;Ch8_HbR
A;-20.0;-0.23729178406344964;-0.26890669304187576;-0.9274966677947027;-0.32443736890478014;-0.3598825887688326;0.05413499867505012;-0.1204734623623504;0.07756982259029765;-0.2703158604613023;-0.12819134815480826;-0.3743326897136745;-0.2960204037798908;1.4980480439492787;0.10831588530425318;0.5229461017522485;-0.8494892910838292
A;-19.9;-0.2520299160898949;-0.26377647001527826;-0.9231683103644954;-0.32240757383089846;-0.35001073239472014;0.059522860403602884;-0.1379269753554488;0.0719765537845456;-0.2740856701819929;-0.12796579541579778;-0.3850652671239916;-0.30094934893513825;1.4976308742010653;0.13224274456385476;0.5311173904941713;-0.7924024001498333
A;-19.8;-0.26620742054982927;-0.2584205730093565;-0.918060908263814;-0.32011287453311255;-0.3397719984399461;0.06508165142912592;-0.15485690159459603;0.06649331529873259;-0.27768390725268066;-0.12776821154328122;-0.39544524911796497;-0.30558474143170544;1.49745976230479;0.15510109302906816;0.5394156681120927;-0.7354417079049096
A;-19.7;-0.2797220961652398;-0.25280403567907417;-0.9120416251011614;-0.3174967797005941;-0.3291305839432752;0.0708316176504371;-0.1711685353871974;0.06115276062309505;-0.28108959841677805;-0.12760239444145727;-0.4053771535139645;-0.30988237365891114;1.497609258603009;0.18245570338164274;0.5478885637799316;-0.6787023043692093
A;-19.6;-0.2924736864722144;-0.2468787503971308;-0.9049349449840651;-0.31448528566019185;-0.31802648520418186;0.07680752574224936;-0.1867714410560814;0.05598158583839297;-0.2842923919655993;-0.12747421183251006;-0.4147636257259957;-0.31378436884492555;1.498159131625342;0.22001056728326196;0.5565893989750403;-0.6221892277439487
A;-19.5;-0.3040897264343325;-0.24062464586843113;-0.8966761016027487;-0.3110460058134086;-0.3065487912056293;0.08294472980566292;-0.2012956465709586;0.05114838083556017;-0.2870991845665545;-0.1273677038391643;-0.4233085227514206;-0.3172889161601755;1.499256266185549;0.26377271196440777;0.5654631163129942;-0.5672054883591775
A;-19.4;-0.3142396089076005;-0.23405294789099695;-0.8872969851533226;-0.3071857849701445;-0.2948290687762949;0.08915548016906882;-0.21440543835354803;0.04681352027212471;-0.28931960812731194;-0.1272651360794823;-0.4307526765734062;-0.32042272822693607;1.501016460053763;0.3081694598829956;0.5744390973141895;-0.5150941406470464
A;-19.3;-0.3225096090893871;-0.2271108453197943;-0.8766433488559731;-0.30283657773187045;-0.28291428685966347;0.09539687139421016;-0.22569936292221832;0.04315499618569563;-0.2907573328152848;-0.12715142096897658;-0.436763758026399;-0.3231592968733914;1.503624971541151;0.3475503941193989;0.5834960124724393;-0.4671164420208065
A;-19.2;-0.32850975131430893;-0.21975797811926334;-0.8645934787722886;-0.2979428652752212;-0.27086542037843175;0.10161971401771819;-0.23479424578015767;0.040343373029966045;-0.29122193697502485;-0.12701163600910714;-0.44102815896512326;-0.3254808168557559;1.5072444705264898;0.37588782569324275;0.5925859716799868;-0.4245293853002776
A;-19.1;-0.33240206287541874;-0.2120611308013407;-0.8513175077649979;-0.2925714891316389;-0.2587404487818201;0.10780110049986114;-0.24183298603200326;0.03832280829684276;-0.29077801568990225;-0.1268523349904629;-0.44366436432146616;-0.3274241808796641;1.5118054641954641;0.3952921562707865;0.6017295814079473;-0.3870522067436353
