Condicao;Tempo_s;Ch1_HbO;Ch1_HbR;Ch2_HbO;Ch2_HbR;Ch3_HbO;Ch3_HbR;Ch4_HbO;Ch4_HbR;Ch5_HbO;Ch5_HbR;Ch6_HbO;Ch6_HbR;Ch7_HbO;Ch7_HbR;Ch8_HbO;Ch8_HbR
A;-20.0;-0.2259807815599828;-0.24980036925515492;-0.22056226942723267;-0.23880457798706978;-0.4498153897172763;-0.36083409672259226;0.10893454771646072;0.027635819441107934;0.1167739615132879;0.07673575190153237;0.5856749526092235;0.47068446683055853;0.2486184960400042;0.13229427920405357;0.1598110053219255;-0.059228343118313376
A;-19.9;-0.22841750201568534;-0.25150669152862903;-0.2229828509852032;-0.2398750055589831;-0.4479784006614693;-0.35760837168699133;0.1076815257182524;0.028106495246265517;0.11354688704875393;0.07542795080431652;0.5636228863604087;0.4542108617607159;0.23679945187913365;0.1263514280911826;0.15503051842882964;-0.061938769187557696
A;-19.8;-0.23302959450059912;-0.25455820593809;-0.22828118420177912;-0.2424411293035007;-0.44718720411335244;-0.3550220053780331;0.11119173731969934;0.03212709638190869;0.10949068883218249;0.07390026952365414;0.542434345801988;0.437450770431;0.2241886609557806;0.12004368299172441;0.14985775219118036;-0.0649569529530023
A;-19.7;-0.240315250368198;-0.2593587009352083;-0.2371730524452067;-0.24692522285195118;-0.44777853416973823;-0.35334756197353556;0.12051126530923195;0.04033995255571643;0.1044397840591138;0.07211186921925439;0.5224353160617161;0.42184070742197477;0.21069949266960553;0.11327015287781528;0.1443139357624954;-0.06835585845013714
A;-19.6;-0.2507102900065643;-0.2662695469744989;-0.25029547023654786;-0.2537067362488479;-0.4500365904197867;-0.35282765353189305;0.1365293172585429;0.0532506078077315;0.0982526725690791;0.07002377216167233;0.5039715050781122;0.40748668396558996;0.1962775386480562;0.10594481930789268;0.13842196484340352;-0.07220330190570756
A;-19.5;-0.2639571357021948;-0.2750630012588786;-0.26728529846088644;-0.26255228845225353;-0.4538153665055189;-0.35335127632437313;0.15880831946131968;0.07064315656595266;0.09105195174765068;0.06767819136160291;0.48704774686155083;0.3944205005448125;0.18105148805979354;0.09817222070428588;0.132153589918782;-0.07645343462368226
A;-19.4;-0.27965588242527506;-0.28537311424007505;-0.2875538087106948;-0.27308068672305374;-0.4589114232936353;-0.3547334829051181;0.18667335982012379;0.09225723906797523;0.08300873336393;0.06514218082382595;0.4714847312099768;0.38622948784585054;0.16515095805663016;0.09009666251586967;0.12546431551355575;-0.08102405863035766
A;-19.3;-0.2972924203427656;-0.2968045396201875;-0.3104213989778808;-0.2848918173397319;-0.4649414767778106;-0.35673450815742225;0.21903167662460854;0.1172731457508176;0.07434436907024988;0.062459749681258;0.4574110579028847;0.37737891414728386;0.148848015348503;0.08188035404238203;0.11833488879507303;-0.0858547340952347
A;-19.2;-0.31625141520176125;-0.30887760237514783;-0.3350638751396424;-0.29749770380502394;-0.47145972510677225;-0.35906443374357266;0.25457066423365626;0.14473366136524124;0.06531899384512752;0.05968651910817613;0.4449099473241902;0.35625092613838394;0.13244329431036928;0.07371307493491663;0.11073987144678377;-0.09086878359205386
A;-19.1;-0.33645357969531986;-0.32146919923495965;-0.36131917353201626;-0.3107613070996367;-0.47852928009218854;-0.3617066442734682;0.2933146190645015;0.17493614383989442;0.0559698846219332;0.056867476918265325;0.43374194505299046;0.3347492228411131;0.11591269714238894;0.06565244590846575;0.10265153113139824;-0.09600923536794959
A;-19.0;-0.3579057033796129;-0.3345350555627311;-0.3891535946641058;-0.3246272670013637;-0.48626068704460845;-0.36468747356210596;0.3354236483024571;0.20822855939466933;0.04629649509784439;0.054032667555804714;0.4237116914242032;0.332298391070998;0.0992075848557068;0.057727147403796586;0.09405506072922254;-0.10123319200352432
A;-18.9;-0.3803996957340461;-0.3478303970806724;-0.41820575163192863;-0.3388296853479176;-0.4946600532352914;-0.36792708163597787;0.3806057887901835;0.24472855515258463;0.03638926137206422;0.05125228404012816;0.4144605543574773;0.33662469292378727;0.08232403028006097;0.05003542906572367;0.08490481229293234;-0.1064576726148938
A;-18.8;-0.4037596732824946;-0.3611348274371311;-0.4481559488270568;-0.3531264010561568;-0.5037635204362001;-0.37136270111965697;0.42862895244146815;0.28460598716274177;0.026322192050241888;0.04859360522651013;0.40560688914958787;0.328742858525648;0.0652362210171269;0.04266479466573525;0.07515884854723964;-0.11160003077586556
A;-18.7;-0.4275132578040113;-0.37414029814971705;-0.4784318225673818;-0.3672112780351018;-0.5131416230757626;-0.37477136211369544;0.47819036497407863;0.3266387338659644;0.016282742893546143;0.0460606875206544;0.39745328837385285;0.31588387700397114;0.04824276068493116;0.03573693766750985;0.06484219957145854;-0.11662462238823856
