Condicao;Tempo_s;Ch1_HbO;Ch1_HbR;Ch2_HbO;Ch2_HbR;Ch3_HbO;Ch3_HbR;Ch4_HbO;Ch4_HbR;Ch5_HbO;Ch5_HbR;Ch6_HbO;Ch6_HbR;Ch8_HbO;Ch8_HbR
A;-20.0;1.808888997732553;0.08220765502747529;3.2804848214860094;1.340794423854975;-1.3147354049201603;0.13837002070350835;1.1729626181522725;0.30217523316288286;0.8710479903916877;-0.40076029539693536;1.5630001913720637;0.2678813563365954;1.7235041615948035;-0.2695990413298368
A;-19.9;1.810407884501584;0.07882065044729458;3.281839657958816;1.3421732330522955;-1.3282787759552832;0.13529737244142837;1.166173354471315;0.30256473522859473;0.8681374112369973;-0.39840961071273107;1.5545321434415378;0.267295665947497;1.7608158088436277;-0.22955827709507304
A;-19.8;1.8120428049608017;0.07586495088396461;3.2830223038033175;1.3434746058773754;-1.341313909599636;0.1322927674481873;1.1609591442669327;0.3034307376485845;0.8654208200923925;-0.3959101266918399;1.5473360426012261;0.26710231576126775;1.7990074850284081;-0.18923008600864932
A;-19.7;1.8138168005243007;0.07353732907631905;3.2842498424128355;1.3447967882511662;-1.35371292179682;0.12936807538767914;1.1578541004195309;0.304907041466997;0.8630150453766827;-0.3932273583659178;1.5418463729777656;0.26740122731299687;1.8382327400177694;-0.14850997717319459
A;-19.6;1.8157996679369268;0.07204653312903364;3.285836196902155;1.346305960574952;-1.365329988459651;0.12652447241689568;1.1577302266894627;0.3072389086191887;0.8610644059259229;-0.3902917682507159;1.5386967932763014;0.2683499575540833;1.8791177888364707;-0.10690078997027186
A;-19.5;1.818050779040319;0.0715926395259201;3.288058420463198;1.3481463979327577;-1.3760233622405913;0.1237599476510951;1.1613722912398643;0.31064304002222265;0.8597045614353007;-0.38703881368589066;1.5384718941968902;0.27009074839268665;1.9222198443490797;-0.06392927247970803
A;-19.4;1.8205220681034637;0.07210477961541173;3.290825963158575;1.3502667057739552;-1.3858271218811513;0.12108867153707603;1.1683857894351064;0.314995837907988;0.8588841342873437;-0.3835155815620297;1.54089182915994;0.2725458520773838;1.9669697638929406;-0.020211477733422356
A;-19.3;1.8231485437441164;0.07342781825995193;3.293984865248609;1.3525865267010397;-1.3948376856922309;0.11853292052870534;1.1781070987436095;0.3201032190893276;0.8585017108004234;-0.3797962877148482;1.5454466900891406;0.27558523099872856;2.0125782190508055;0.023378789007118428
A;-19.2;1.825836247279941;0.07546346564166928;3.2972674801348365;1.3549493381300834;-1.4030910752676888;0.11608823001948876;1.1897772568927216;0.32571948721266075;0.8584708809188744;-0.37594544903127236;1.551669167268047;0.2790697999874001;2.058191215035837;0.06615621096667113
A;-19.1;1.8284755510939017;0.07807560632220678;3.3003555977362975;1.3571715222138057;-1.4106485840324066;0.11375248978610708;1.2024744403062613;0.33155150298271074;0.8586797128903001;-0.3720434879661454;1.5589757233657346;0.28282928581960176;2.1028003908284134;0.10729473000933964
A;-19.0;1.8310655141490906;0.08119113918735277;3.3033221348681003;1.3593001730676102;-1.4175846055573338;0.11155447783604577;1.2160522855014975;0.3375698530132105;0.8591008384302832;-0.3681190390611171;1.5671593846670344;0.2868262748415238;2.1461969093725344;0.14640993368985278
A;-18.9;1.8336207091806287;0.08477569622092584;3.3062787567087852;1.361402570967079;-1.4239489563593963;0.10951510398303999;1.2305108812516288;0.3437871654729303;0.8597326786295181;-0.36418053673688;1.576119588801256;0.2910524061269335;2.188364208028485;0.18333880737355202
A;-18.8;1.8361182455766436;0.0886826764396842;3.309242247996197;1.3634998672760892;-1.4298624001305704;0.10767463694506896;1.2454905283377045;0.3501149546915663;0.8605029222618015;-0.3602877083237761;1.5854882566516766;0.2954239911837586;2.228825865179342;0.21737685508179894
A;-18.7;1.838543779076528;0.09277284630929383;3.3122554471149446;1.3656278927262413;-1.4354477837563948;0.10607334319444206;1.26069472663427;0.3564851922559029;0.8613504447687284;-0.3564937569082449;1.5949416626022037;0.2998680361000061;2.2672268897139993;0.24797306988647705
A;-18.6;1.8408115730775396;0.09702003970624151;3.3150078373061547;1.3676007297170925;-1.4406783484066832;0.10466693239714919;1.275485181384731;0.3626747226351643;0.8622264457049003;-0.3528195943391559;1.6041608267235148;0.304276061686084;2.303057893925825;0.27504353867301035
A;-18.5;1.8427985133683518;0.10140037331923679;3.317044113950436;1.36914630894098;-1.445494403794651;0.10339094703748364;1.2890284610124034;0.3683844832423766;0.8630657844142036;-0.34929411309305713;1.612784518928465;0.3085068657167147;2.3356109622687597;0.29848406484580536
A;-18.4;1.8444702133872242;0.1059519160634963;3.3182264179364456;1.3701733416379165;-1.4498647921773244;0.1022054391688112;1.3010992861068509;0.37352186227569284;0.8638932979729912;-0.34590013682648824;1.620782023821202;0.3125248851277589;2.365033031512368;0.3189916566325621
A;-18.3;1.8457874821988267;0.11072733557151349;3.318383267254937;1.3705693741918195;-1.4537416992626557;0.10105970906991057;1.3114341380037509;0.3779788626774039;0.8647322123525818;-0.3426135394352876;1.6281002756548855;0.3162922946661113;2.3914368966264092;0.33726079293431965
A;-18.2;1.8466332305930093;0.11561424020276867;3.3171676362210025;1.3701368723105967;-1.4571349072585313;0.09993587538529392;1.319304424702672;0.3815036690141298;0.865492314364694;-0.33950437788720755;1.634420152594254;0.319661321103462;2.4140102559369367;0.35282971500544846
A;-18.1;1.846913816856429;0.12048470241263853;3.3143500084641033;1.368749142845056;-1.4600874972603979;0.09883963337535251;1.3241892674452096;0.38391663103468154;0.8661041300053487;-0.3366468268583631;1.6395609558804098;0.32250944886516963;2.4321851115208197;0.3654628494032828
A;-18.0;1.8464881984314465;0.12523891128154307;3.3094358960007533;1.3661215565430407;-1.4625752402794099;0.09771957806526066;1.3250353847597154;0.3848639857821894;0.8664286625051787;-0.33409967751707903;1.6428975070726368;0.3246516977263165;2.4447000806071095;0.37414944514010173
A;-17.9;1.845224717402023;0.12977188936381978;3.301991053644681;1.362005819812814;-1.464583107598168;0.09653766321314228;1.32086712222889;0.3840213343894838;0.8663245629316592;-0.3319259440961524;1.6438155474092158;0.32591357221266204;2.450243233786935;0.3776399338597649
A;-17.8;1.843203885893168;0.13413072846289076;3.2923722405003417;1.3566008826662541;-1.466175432968706;0.09532604170184822;1.3123857047557443;0.3816126447216668;0.8659266311357214;-0.3300855400126732;1.6428584263706494;0.32639322543752414;2.450117747232987;0.37775217313491183
A;-17.7;1.8405641063065694;0.13842395375077032;3.281100541841891;1.3501961337359738;-1.467420281981516;0.09411510364588471;1.3005371447177048;0.3779542395841169;0.8654125243241442;-0.32849250137889463;1.6405906855568881;0.3262499881227465;2.446034619827053;0.3765312247667758
A;-17.6;1.8374172435599727;0.14266690262162296;3.2687831758594026;1.3431424988228207;-1.4684198599774323;0.09300102819711764;1.286315378217406;0.37338250065541523;0.8649002728693169;-0.32713725414441086;1.6375794400820887;0.32561935851208546;2.4389575462330555;0.37449954332471336
A;-17.5;1.8339047188703614;0.14689434195785456;3.2561379383238247;1.3358538254384218;-1.469288357333559;0.09209014196160092;1.2710633591200633;0.36833838207780367;0.8645632498322904;-0.3259960446674235;1.6347278911493142;0.3246815121633224;2.430413567712094;0.3731676655038818
A;-17.4;1.8300918548779226;0.15119026867200525;3.2432981763410016;1.328398318075772;-1.4700306148694473;0.09134480698412162;1.2544866079630772;0.36277963196621954;0.8643580999806915;-0.32498298075583065;1.631219997168949;0.32345580987933387;2.4200249049499156;0.37105489327750973
A;-17.3;1.8260103300297967;0.15560946778322648;3.230281297217969;1.320780982967003;-1.4706328275847866;0.09072007160776119;1.2358795158019404;0.3565456606605224;0.8641231544320078;-0.32403193595421165;1.6257250586937921;0.32189811696570647;2.4061879718206463;0.3647691950058487
A;-17.2;1.821777451221375;0.16028974668712337;3.217379272819441;1.3131557524313102;-1.4711197778210146;0.09018098130063557;1.216216326049711;0.3499281587279466;0.8640518858183697;-0.32301762174089177;1.6191182763903313;0.3201484408345632;2.391061989906934;0.35855835964035165
