Condicao;Tempo_s;Ch1_HbO;Ch1_HbR;Ch2_HbO;Ch2_HbR;Ch3_HbO;Ch3_HbR
Baseline;-15.3;-1.4473135280078528;-0.29755864209968763;-0.7571319409589341;0.13192781767948958;-0.32701541788617305;-0.08372233073550195
Baseline;-15.2;-1.4316326435194062;-0.28934904041778164;-0.7407317475255359;0.14445126879330594;-0.30276967894129214;-0.06677055331031934
Baseline;-15.1;-1.4216236429598315;-0.2816886393584106;-0.7256339032933328;0.15657709378019113;-0.28007055004503023;-0.050334201864629335
Baseline;-15.0;-1.4181294688733415;-0.2745368305784819;-0.71165713762334;0.1682916920901203;-0.25878532276900934;-0.03445485378391844
Baseline;-14.9;-1.3990717079015136;-0.2678092417474387;-0.6985150223472383;0.1796370372221192;-0.23859707991372758;-0.019050457993421865
Baseline;-14.8;-1.3699355991953004;-0.26138214678476324;-0.6856882180946942;0.19062435965013158;-0.2191403829536629;-0.004240203943484566
Baseline;-14.7;-1.4222277546980022;-0.25510297110434;-0.6725644531148367;0.20128715182121137;-0.19994700083390704;0.009882993433841136
Baseline;-14.6;-1.3527473387237299;-0.24898169465063624;-0.6592375499619214;0.21163081862137556;-0.1810098618411189;0.023427861982592724
Baseline;-14.5;-1.360593136735596;-0.24304767585941534;-0.6458674714127026;0.22164678855784548;-0.16240188323485327;0.03648135952022358
Baseline;-14.4;-1.359368899620013;-0.23727942057504148;-0.6322897207951721;0.23137439004312377;-0.14384508537477636;0.04922317371921903
Baseline;-14.3;-1.3293243171517108;-0.2316633150462435;-0.6191070426421694;0.24085427438908003;-0.1256677950296261;0.06184758519847833
Baseline;-14.2;-1.336509000237208;-0.22605950135656538;-0.6067505340230293;0.2500928421650048;-0.10834423682007888;0.07415902636136273
Baseline;-14.1;-1.3089340454692238;-0.2202762263081226;-0.589325044970888;0.25909306001093757;-0.08736311268780916;0.08585139940235109
Baseline;-14.0;-1.2682547728264995;-0.21423719066287816;-0.5651570947258895;0.2678436047224162;-0.061506746753321906;0.09676403500860697
Baseline;-13.9;-1.2737374714771468;-0.2078531082687789;-0.5564233352257384;0.276332388611614;-0.04865735013708772;0.10670139742613571
Baseline;-13.8;-1.3064298059384951;-0.20097997692980663;-0.5560742485757553;0.2845726097849157;-0.04326208089107553;0.11551015846811907
Baseline;-13.7;-1.0824848690087192;-0.19351894306329154;-0.46580065695896433;0.29257647679046794;0.033273569623727184;0.12312269774868767
Baseline;-13.6;-1.2064539935843;-0.18526303142432798;-0.4955929910470047;0.30037760715585016;0.012886486765594896;0.12931849933650064
Baseline;-13.5;-1.1047684503593826;-0.17603361877261836;-0.4454591662688001;0.3080005599349347;0.05539657550957422;0.13390232296111648
Baseline;-13.4;-1.02901322167257;-0.1659404884072826;-0.4031447178075691;0.3154213766806597;0.09070691495736227;0.1370040854139436
Baseline;-13.3;-0.9544331467838401;-0.15514464665492156;-0.3602996588958538;0.3226185251140006;0.12560546162853647;0.1388267040387996
Baseline;-13.2;-0.8855822725650464;-0.14388159446667714;-0.3188457198725265;0.3295163994224728;0.15869279082020604;0.13958782173089812
Baseline;-13.1;-0.8073885005515749;-0.13242791282908772;-0.2739439193970252;0.33603397962976356;0.19400574412492233;0.13955463053007566
Baseline;-13.0;-0.7224438742776238;-0.12078633592030474;-0.22650027170196285;0.34220981414407436;0.23085614057020898;0.13881388051728916
Baseline;-12.9;-0.6366837799680942;-0.10892490190906212;-0.17853616035031727;0.3480849981784102;0.2676360505229738;0.13740379010806603
Baseline;-12.8;-0.5493668464901438;-0.09689420246399294;-0.12986147755614663;0.3537013695685962;0.30457454093652814;0.1354839897502993
Baseline;-12.7;-0.46033761377810123;-0.08472682471231074;-0.08046314791309594;0.3591092507282134;0.3417521328003872;0.13320360042535118
Baseline;-12.6;-0.37158333710184355;-0.07265976772990346;-0.03138850813929217;0.3641987916889615;0.3784316940155108;0.1307020604482254
Baseline;-12.5;-0.2853901225390292;-0.061020831974733625;0.01607529849990197;0.3688080468091517;0.41371435832618175;0.12815037853903544
Baseline;-12.4;-0.20260023096149293;-0.049930644724625495;0.06144894072803808;0.37287514817875866;0.44727043264166433;0.12561521522842334
Baseline;-12.3;-0.12412745604753272;-0.039527347120746015;0.1042014011283161;0.3763220829571994;0.47872848933779366;0.12315566289015045
Baseline;-12.2;-0.05209326310856799;-0.03008254763985896;0.14319375457826222;0.3790548457761931;0.5073235072925186;0.12098923142939455
Baseline;-12.1;0.011778630563323844;-0.021798051409633423;0.17753130933853;0.3810289260902042;0.5324757278277215;0.11932963126557539
Baseline;-12.0;0.06491122209482736;-0.01502963268495261;0.20579247562738878;0.38209072697342616;0.5532020416336607;0.11839078718055251
Baseline;-11.9;0.10494315149852174;-0.010096736369960446;0.2266851852436842;0.38211104734701884;0.5686175947561747;0.11838176839799885
Baseline;-11.8;0.13296442757100913;-0.006813634902099963;0.2408627592039858;0.3812153567587968;0.5792280337072366;0.11929265617794993
Baseline;-11.7;0.15093204025585827;-0.004882049666178112;0.24944609383443517;0.37957122048355174;0.5858574013999522;0.12102980443801847
Baseline;-11.6;0.1607681693370484;-0.003969007035410144;0.2535972848217023;0.37740721024031476;0.5894024805299303;0.12357596144563843
Baseline;-11.5;0.1648880574768894;-0.00366912373795536;0.25475722050113525;0.3749893436650602;0.5909603111617212;0.12688372873833753
Baseline;-11.4;0.16391753804972886;-0.003912203653121615;0.25325024314841293;0.3723384769820237;0.5907462279942752;0.1308737052049329
Baseline;-11.3;0.15801022799995934;-0.0046999009420094495;0.2491313417412675;0.3694373529782231;0.5887788281446991;0.13548760156742112
Baseline;-11.2;0.1485644088348934;-0.005850901299789157;0.24315712671738599;0.3663613428238621;0.585585464645419;0.1406012797324907
Baseline;-11.1;0.13684875418977427;-0.007210245518275649;0.23600101146747754;0.3631655707376593;0.5816245437789966;0.1460820595559964
Baseline;-11.0;0.1241680044699427;-0.008527868894347534;0.22849180184530216;0.3600493205236255;0.5775606060971459;0.15195419172159763
Baseline;-10.9;0.11220092325330455;-0.009464160081543938;0.22172031099503364;0.35729374755257126;0.5742875960473857;0.15828961339318237
Baseline;-10.8;0.10130462836361076;-0.009941683674413504;0.21593387324368596;0.3549776563121476;0.5720085614871397;0.16509475247869698
Baseline;-10.7;0.0917927115975834;-0.009882987096252904;0.21136558616554257;0.35318734004172025;0.5709219073790379;0.17238698214686288
Baseline;-10.6;0.08574082193210053;-0.008910497621411828;0.20929743805624756;0.3522009139868265;0.5720503172047611;0.18020176925388132
Baseline;-10.5;0.08505730961015256;-0.006694942134709336;0.21088160129621691;0.35224704258403783;0.5762990231041485;0.18854498008572662
Baseline;-10.4;0.0920311662091482;-0.002810509279838058;0.21754800717000666;0.35364795998413623;0.5848086998052366;0.19745380792432599
Baseline;-10.3;0.10882921250237487;0.00314404006952973;0.23064735780193946;0.3567063109596411;0.5986589773190953;0.20696682496861385
Baseline;-10.2;0.13449148585896342;0.010949529183886142;0.24953352935424444;0.3612444296909585;0.6172942983532206;0.21697433090076323
Baseline;-10.1;0.16712698367930567;0.020203741116337604;0.27297081647738786;0.366945859132473;0.6396693294152485;0.2273067321462845
Baseline;-10.0;0.20536477214250404;0.030610721046727463;0.3000526766020686;0.37357434550312885;0.6650425993912652;0.23788785321778771
Baseline;-9.9;0.24740089249116792;0.04178775018660019;0.32959447864936564;0.3808255745054039;0.6924445545523064;0.24862087403901345
Baseline;-9.8;0.29229886229274626;0.053518643016668754;0.3609711772432478;0.38852832216020694;0.7213066273536182;0.2593291583425854
Baseline;-9.7;0.3395626538773504;0.06567898955831186;0.39384532248792503;0.3965858108691789;0.7513022108867187;0.269867516096995
Baseline;-9.6;0.3874976795047651;0.07789859336214722;0.42710131703566745;0.40470366982061634;0.7814542648996454;0.2800163490897969
Baseline;-9.5;0.4344864317082662;0.08982304606702396;0.4596747675677708;0.4126007635128133;0.8108242904575516;0.2895508016102619
