Condicao;Trial;Tempo_s;Ch1_HbO;Ch1_HbR;Ch2_HbO;Ch2_HbR;Ch3_HbO;Ch3_HbR;Ch4_HbO;Ch4_HbR;Ch5_HbO;Ch5_HbR;Ch6_HbO;Ch6_HbR;Ch7_HbO;Ch7_HbR;Ch8_HbO;Ch8_HbR
A;1;-20.0;-0.5926313111956221;0.20402414340956332;-0.4461823418600286;0.23828563284815507;-0.235039003253533;0.10819354372927403;-0.34655162854945853;0.17119552432566776;-0.398116234798394;0.05858802075663316;-0.3520391768992237;0.18442638262877065;-0.6264180763189913;0.19647813795878877;-0.7294412583443526;0.14264052741816746
A;1;-19.9;-0.5923230303911202;0.20450111403828553;-0.4494702427629793;0.23700051869067362;-0.23483749082904737;0.10649359646328183;-0.34656910567801624;0.17140010815570417;-0.39892134015926395;0.05782502965978953;-0.3539953321223219;0.18658943604028977;-0.6303266384486141;0.1953884451814245;-0.7293323569560215;0.1447383845547754
A;1;-19.8;-0.5917905922178095;0.20484164618241163;-0.45266753040010954;0.23593000922240215;-0.23466057267045493;0.10483506617272909;-0.3464353941468721;0.17172892400347894;-0.39964065612247524;0.0571072628155509;-0.3557041412316977;0.18879617969480833;-0.6341475862113004;0.19446118950724234;-0.7290639232518163;0.14704183709534568
A;1;-19.7;-0.5910130693962001;0.20503671661073763;-0.45577094380027283;0.23511151141484676;-0.2344989136332849;0.10323105500805063;-0.34611949505474193;0.1722000238333452;-0.40025238070004043;0.056448802308407764;-0.35710993119828505;0.19105785969277722;-0.6378523590735625;0.19372318877303396;-0.7285987801919669;0.14957594946842567
A;1;-19.6;-0.5898655141817972;0.20502128578389023;-0.4586852875328873;0.23463211604284684;-0.23429544880775133;0.10171544158941082;-0.34555595951650453;0.1728443924059775;-0.40067237010962486;0.05588322739172913;-0.3581048081258844;0.19335143860629955;-0.6412790958438039;0.19321878169579243;-0.7278350018481312;0.15237031047913874
A;1;-19.5;-0.5882360598950456;0.20473416796403265;-0.4613135408903446;0.23455832009602995;-0.23399495267899795;0.1003164086853694;-0.34469508962613826;0.17368320197752762;-0.4008246712033561;0.05543936940563743;-0.3586083152030879;0.19564911197014023;-0.6442714059438179;0.19298101834381187;-0.7266909266169979;0.15544002493727138
A;1;-19.4;-0.585978955747338;0.20410561374783898;-0.46355944527662274;0.23500055569972922;-0.23353443000865148;0.0990735323647316;-0.34345193067940105;0.1747575641869865;-0.40061430224424477;0.05515517985647733;-0.3584818865694501;0.19793092084054642;-0.6466550806910094;0.19306154957621802;-0.7250377370199468;0.15882714767269412
A;1;-19.3;-0.5829607959981118;0.20306960694564458;-0.4653307647848255;0.23605767325051952;-0.23285487968270147;0.09802358062932282;-0.3417509666123397;0.1761033783492736;-0.3999525543261857;0.05506608311958239;-0.357600875546801;0.20017607308563257;-0.6482657563554026;0.1935081728753656;-0.722758774194542;0.16256799244147224
A;1;-19.2;-0.5792495435844156;0.2016522630517037;-0.4666501861362917;0.23766709787597762;-0.2319708441675754;0.09714976379854434;-0.3396363459017335;0.1776945819748157;-0.39887217648023743;0.05516027532146861;-0.35603732934026944;0.20238854946284413;-0.6491435314172431;0.19429559268171825;-0.7199192902539124;0.1666273151176525
A;1;-19.1;-0.5749657909184798;0.1999078646595609;-0.4675781610326357;0.23972786906641375;-0.23091738436183107;0.09642055621260326;-0.3371789395246916;0.17949119354826104;-0.39743994427606033;0.055412469045439394;-0.35390937176760495;0.2045826655864813;-0.6493891069892985;0.19537748180551429;-0.7166277998741624;0.17095387470836076
A;1;-19.0;-0.5702272958647239;0.19787471370233822;-0.46815050474278763;0.2421319189929645;-0.22972593042917033;0.09580927675238282;-0.3344618074304444;0.18144666376006668;-0.39571214678982436;0.05580216701562346;-0.3513439047232527;0.20675804978249612;-0.6490805124657442;0.1967178936738847;-0.7129997310931477;0.17549184533726736
A;1;-18.9;-0.5651797867439621;0.19560409025919556;-0.46841884804163136;0.24474801595704632;-0.22843787235062507;0.0952816040965514;-0.3315850480275957;0.18350536831728537;-0.393762079090914;0.05630203941175971;-0.3484960655795071;0.20891735542067913;-0.6483239761686805;0.19826980571429775;-0.7091758671549595;0.18017451344738067
A;1;-18.8;-0.55986559489528;0.19312380181121513;-0.4684139820573012;0.2475418611739566;-0.22706184290072784;0.09482352649698012;-0.3285662238207028;0.18565345907588116;-0.39161570149280855;0.05690074686213542;-0.345402319056916;0.21107063124508763;-0.6471562897932976;0.20000605130515225;-0.7051876524928922;0.18497976019050055
A;1;-18.7;-0.5543018379262366;0.19044932998625264;-0.4681528532614898;0.25050064903701896;-0.22559813282996188;0.09442846054198917;-0.32540771108646904;0.18788482749234658;-0.3892832092419827;0.057593041735493955;-0.34207224965196215;0.21322388251993551;-0.6455902503424866;0.20191020625692158;-0.7010422912504879;0.18989599383141575
A;1;-18.6;-0.5485725761601019;0.18763134626964328;-0.4676935317419275;0.2535559176482729;-0.2240696233878925;0.09406987432367941;-0.3221501354648515;0.19017344204079478;-0.38681770300153673;0.05835662295092625;-0.33858428279747343;0.21539512495726232;-0.6437062852688875;0.20393545078643438;-0.6968078522082868;0.19488395354571608
