arquivo;condicao;ocorrencia;label
dp366_pos_post.nirs;B;1;Baseline
dp366_pos_post.nirs;S;1;S
dp366_pos_post.nirs;F;1;F
dp366_pos_post.nirs;I;1;I
dp366_pos_post.nirs;B;2;B
dp366_pos_post.nirs;D;1;D
dp366_pos_post.nirs;S;2;S
dp366_pos_post.nirs;D;2;D
dp366_pos_post.nirs;S;3;S
dp366_pos_post.nirs;P;1;P
dp366_pos_post.nirs;P;2;P
dp366_pos_post.nirs;P;3;P
