Condicao;Tempo_s;Ch1_HbO;Ch1_HbR;Ch2_HbO;Ch2_HbR;Ch3_HbO;Ch3_HbR;Ch4_HbO;Ch4_HbR;Ch5_HbO;Ch5_HbR;Ch6_HbO;Ch6_HbR;Ch7_HbO;Ch7_HbR;Ch8_HbO;Ch8_HbR
D_2min;-20.0;-0.9299953205488602;0.151123867531072;-1.0882853349707275;0.0675908547012547;-0.6734623071709169;-0.07411928642707633;-1.234241589895884;-0.05874514716019874;-0.5420664567321793;-0.13954305170141978;-1.0198439451723953;-0.07568942255266453;-0.7240076166013729;-0.023550513640699045;-0.940886301297418;0.036811780127261606
D_2min;-19.9;-0.936481983413465;0.15429594292887394;-1.0936955865944658;0.07240914329228154;-0.6811607371497175;-0.07270975606968655;-1.240480322680754;-0.05334482553972908;-0.5470981602349099;-0.13909055711716256;-1.020304257870487;-0.07050743511870827;-0.7368871625806044;-0.018564894651618147;-0.9481433510504047;0.04091669549402788
D_2min;-19.8;-0.9420715846825765;0.1573086144119502;-1.0983140905452249;0.07726570338209182;-0.6881245758376284;-0.07120710742504777;-1.245880900211234;-0.04774428617202009;-0.5518042039392785;-0.13853960433345236;-1.0202653137407776;-0.06520796323580758;-0.7489378318674689;-0.013620574690227372;-0.9546733524699942;0.044945991414523156
D_2min;-19.7;-0.9465516768680775;0.16018491400953394;-1.1020370981889052;0.08218847719014999;-0.6941316565359372;-0.06958001964058802;-1.2503558338482872;-0.04194542282217384;-0.5560438526702463;-0.13786902174230775;-1.019656296214352;-0.05982020654262499;-0.7598559087321775;-0.008710445752469376;-0.9602627686392218;0.048917827549209925
D_2min;-19.6;-0.9498046834222222;0.1629397643244932;-1.104779557520466;0.08719758453698034;-0.6990804924417837;-0.06781590770598811;-1.2538395629036287;-0.03594831849080471;-0.5597546195627707;-0.13707170734724183;-1.0183884500218756;-0.05433332210408626;-0.7694941096560903;-0.003825738241686416;-0.9647694853157667;0.05285663808931318
D_2min;-19.5;-0.9516847361804892;0.16559707080488018;-1.1064306448150205;0.09232654912141758;-0.7028493317078439;-0.06589722106808615;-1.2562457525399404;-0.029745481466250112;-0.5628628276566854;-0.1361378937762021;-1.0163380004346063;-0.048723011936758986;-0.7776818499747069;0.0010530411539999562;-0.9680142020994573;0.05680083720212714
D_2min;-19.4;-0.952111691764598;0.1681420420098334;-1.1070138974836699;0.09754247928590232;-0.7053063936023438;-0.06381411118006408;-1.2575889043933728;-0.02337486810112921;-0.5652699348305728;-0.13505605285432853;-1.0136041459331846;-0.04308720150384637;-0.7842159265872457;0.005886003208564361;-0.969956346378094;0.06070515678396138
D_2min;-19.3;-0.9510727395571745;0.1705444450307878;-1.1066010773067934;0.10278886996535874;-0.7063781339504338;-0.06156840403593833;-1.2579230076219634;-0.016886339863404487;-0.5669089030098196;-0.1338207286233315;-1.010339872318708;-0.037537768593118415;-0.7889641546983075;0.010616323487592894;-0.9706329153670463;0.06450285593714788
D_2min;-19.2;-0.9484322737973852;0.17280794516075204;-1.1051783931976829;0.10805620921015802;-0.7058807779739862;-0.0591386369327056;-1.2572335281272915;-0.010310275587180229;-0.5676535891735881;-0.13241509574158794;-1.006597285141222;-0.03215971143697516;-0.7916671702636027;0.015223661255562959;-0.9699379017492493;0.06817040792765372
D_2min;-19.1;-0.944076468757693;0.17493105669738895;-1.1027447271083677;0.11332823521155344;-0.7036528387542429;-0.056507453619609294;-1.2555152336692865;-0.0036780404525602606;-0.5673883134136464;-0.13082370923002085;-1.0024414904273407;-0.027039702667068788;-0.792091293891632;0.01968257905802151;-0.9677895367816305;0.07167858216243861
D_2min;-19.0;-0.9381047019418816;0.17689100089911847;-1.0993346202145613;0.11856831714207594;-0.6998072931124586;-0.05370047361239383;-1.2528030035422857;0.0029870408498773315;-0.5661713177227004;-0.1290604801592643;-0.9978824611870198;-0.02216466511981352;-0.7903621637976119;0.02396661289407742;-0.9642703170878146;0.07501004096177866
D_2min;-18.9;-0.9306550318657045;0.17867034111835878;-1.0949721083938844;0.12374837109143844;-0.6945180793993089;-0.05075045365939079;-1.2491287431602007;0.00966805789679892;-0.5641049226657806;-0.12714678276348668;-0.9928825099519027;-0.017479300285242694;-0.7866951893921286;0.028062552523794082;-0.9594782634567789;0.0781658180378475
D_2min;-18.8;-0.9219083779530095;0.1802211536895797;-1.0897422197985627;0.12880141440106474;-0.6879821024659698;-0.04769976501800599;-1.244562435668911;0.016338998862486243;-0.5612845543186413;-0.12510127334736065;-0.9875134983009684;-0.012984813703136311;-0.7813045930073308;0.031918362246655896;-0.9535916212820492;0.08110068818401661
D_2min;-18.7;-0.9120793823575344;0.18149243565650242;-1.0837383215369467;0.1336568566111076;-0.6804373582440402;-0.04459710414339568;-1.239182320269415;0.02297446168669115;-0.5578310704212477;-0.12294677438470014;-0.9818422707776513;-0.008669033382023628;-0.7744589599956697;0.035481665780072724;-0.9468159870734052;0.08377041989581269
D_2min;-18.6;-0.901213905579116;0.18249573154078647;-1.0769497859956623;0.1383178399563949;-0.671949722363788;-0.04145305208880501;-1.2329941122818404;0.029558589900615218;-0.5537889397458056;-0.12069521942071493;-0.9758051114432487;-0.004487286548831904;-0.7662561189868118;0.03876584709135056;-0.9391586629587287;0.0861977377252039
D_2min;-18.5;-0.8893277642816511;0.18324663371861316;-1.0693611834529637;0.14279203542020813;-0.6625478277490977;-0.038271706205655676;-1.2259970493059473;0.03607655850692382;-0.5491777060178773;-0.11835381585437688;-0.9693478106172648;-0.0004096082984172966;-0.7567449746873915;0.04178607064014095;-0.9306048052595308;0.08840465374537398
D_2min;-18.4;-0.8765116310218293;0.1837568848235902;-1.0609641317366805;0.14708293837143938;-0.6523553751456639;-0.035071817755003565;-1.218203397486774;0.04251428670154933;-0.5440815163404196;-0.1159412873365655;-0.9623754739750847;0.0036413789186973133;-0.7461054965390481;0.044561178542515734;-0.9211880580820804;0.09042364479318721
D_2min;-18.3;-0.862846914198867;0.18404314850153902;-1.0517459919394962;0.1511995897605276;-0.6414861245907648;-0.03186935928800416;-1.2096223984944352;0.04885875763229919;-0.5385799000613094;-0.11347551517600785;-0.9547887270083386;0.007743504048133509;-0.7345090919756814;0.047115405136191946;-0.9109322320533639;0.09229159425877409
D_2min;-18.2;-0.8484856746321441;0.18405442587039023;-1.041806508025191;0.15507179198281307;-0.6300949135606224;-0.02869967335509571;-1.200324442746168;0.05508989597827885;-0.5327268672678649;-0.11096494635624943;-0.9467149117874527;0.011853253418495413;-0.7221007342050587;0.04938895986228253;-0.9000135696234306;0.0939482299399037
D_2min;-18.1;-0.8336259106307402;0.18371508497658162;-1.031285784174493;0.1586002217524447;-0.618376737226777;-0.0256090812921137;-1.1904050170397005;0.06118455756667185;-0.5265858311290952;-0.10841812905226078;-0.9383435310599051;0.015901113372950526;-0.7090525373975538;0.051293594367532336;-0.88867283806246;0.09530310322602986
D_2min;-18.0;-0.8183574865369536;0.18299709870151393;-1.0202610375687495;0.16173990360212454;-0.6064146951226981;-0.022616855201555097;-1.1799183370423858;0.06712391236661919;-0.520174995000934;-0.10583804530539798;-0.929789443516416;0.019834468767364832;-0.6954358654309694;0.052792209794266576;-0.8770268912845118;0.09631290873854592
D_2min;-17.9;-0.8027742958727391;0.18186731410615842;-1.0088205618514987;0.16443996909739234;-0.5942924022143519;-0.019743054258644754;-1.1689241219989253;0.07288967192119866;-0.513507881807655;-0.1032261326346875;-0.9211912867718137;0.023587341889192537;-0.6813157008175281;0.053841303431361176;-0.8652053774055304;0.0969258625690621
D_2min;-17.8;-0.7870792935127913;0.18027229464545869;-0.9970721121949442;0.16662521514537065;-0.5822196903779808;-0.01703223994659897;-1.157506251475441;0.07845843911030492;-0.5066780021662183;-0.10059816611831707;-0.9126383088472814;0.02715308975376285;-0.6669160263803935;0.05438204429792304;-0.8534114245954427;0.09708918696375957
D_2min;-17.7;-0.7714535980908259;0.17817733800721403;-0.9850984044422209;0.1682411700214459;-0.5703869536306492;-0.0145223263353218;-1.145736096455055;0.08380693811681539;-0.49978021665105565;-0.09797157711647575;-0.9041684179947094;0.03055081143774263;-0.6524579617917841;0.05437764745625806;-0.8418080034286213;0.09677388508936602
D_2min;-17.6;-0.7561243164768285;0.17551295604693973;-0.9730355135264652;0.169196159067031;-0.5590272157764566;-0.012263386243636099;-1.1337106903583445;0.08891709304632744;-0.4929086728822156;-0.0953598126984998;-0.8959278634468433;0.03374682743266266;-0.6381741268217738;0.053752213171478935;-0.8306416878570602;0.0959063081722018
